dates,eps_estimate,eps_actual,eps_pct_diff,ticker,country,category
1993-01-16,0.01,0.01,0.59,AAPL,USA,"tech, electronics"
1993-04-20,0.01,0.01,-8.98,AAPL,USA,"tech, electronics"
1993-07-16,0.01,0.0,-88.95,AAPL,USA,"tech, electronics"
1993-10-15,0.0,0.0,160.0,AAPL,USA,"tech, electronics"
1994-01-21,0.0,0.0,4.11,AAPL,USA,"tech, electronics"
1994-04-21,0.0,0.0,-41.48,AAPL,USA,"tech, electronics"
1994-07-22,0.0,0.0,42.49,AAPL,USA,"tech, electronics"
1994-10-17,0.01,0.01,24.52,AAPL,USA,"tech, electronics"
1995-01-19,0.01,0.01,34.71,AAPL,USA,"tech, electronics"
1995-04-20,0.01,0.01,-36.81,AAPL,USA,"tech, electronics"
1995-07-20,0.01,0.01,-5.18,AAPL,USA,"tech, electronics"
1995-10-18,0.0,0.0,-7.94,AAPL,USA,"tech, electronics"
1996-01-17,0.0,0.0,-58.73,AAPL,USA,"tech, electronics"
1996-04-17,-0.01,-0.02,-40.6,AAPL,USA,"tech, electronics"
1996-07-17,-0.01,-0.01,51.62,AAPL,USA,"tech, electronics"
1996-10-16,0.0,0.0,118.43,AAPL,USA,"tech, electronics"
1997-01-15,-0.01,-0.01,-48.27,AAPL,USA,"tech, electronics"
1997-04-16,-0.01,-0.01,-18.28,AAPL,USA,"tech, electronics"
1997-07-16,-0.01,0.0,26.82,AAPL,USA,"tech, electronics"
1997-10-15,0.0,0.0,-50.44,AAPL,USA,"tech, electronics"
1998-01-14,0.0,0.0,22.41,AAPL,USA,"tech, electronics"
1998-04-15,0.0,0.0,156.82,AAPL,USA,"tech, electronics"
1998-07-15,0.0,0.01,68.35,AAPL,USA,"tech, electronics"
1998-10-14,0.0,0.01,39.86,AAPL,USA,"tech, electronics"
1999-01-13,0.01,0.01,12.62,AAPL,USA,"tech, electronics"
1999-04-14,0.01,0.01,19.25,AAPL,USA,"tech, electronics"
1999-07-14,0.01,0.01,7.69,AAPL,USA,"tech, electronics"
