ticker,country,mkt_cap_billions,category,volume_90_day
AAPL, USA,2791.0,"tech, electronics",57616.0
ABBV, USA,262.5,pharmaceuticals,5314.0
ABCL, Canada,1.56,pharmaceuticals,2768.0
ABG, USA,4.57,retail,187.0
ABNB, USA,93.99,tech,6296.0
ACAD, USA,4.37,pharmaceuticals,1533.0
ACI, USA,13.64,retail,3754.0
ACLX, USA,1.76,pharmaceuticals,522.0
ADBE, USA,254.53,tech,3510.0
ADI, USA,87.9,tech,3536.0
ADP, USA,102.16,tech,1603.0
ADSK, USA,46.63,tech,1468.0
AEE, USA,20.82,energy,1291.0
AEO, USA,3.13,retail,4773.0
AEP, USA,40.17,energy,3020.0
AES, USA,11.62,energy,6003.0
AGIO, USA,1.46,pharmaceuticals,408.0
AGR, USA,13.13,energy,657.0
AKAM, USA,15.98,tech,1528.0
AKRO, USA,2.7,pharmaceuticals,669.0
ALGN, USA,25.57,tech,696.0
ALKS, Ireland,4.88,pharmaceuticals,1541.0
ALNY, USA,25.24,pharmaceuticals,533.0
ALVO, Iceland,2.56,pharmaceuticals,92.0
AMAT, USA,121.61,tech,5695.0
AMD, USA,167.06,electronics,69136.0
AME, USA,35.19,electronics,875.0
AMGN, USA,139.66,pharmaceuticals,2501.0
AMOT, USA,0.55,electronics,62.0
AMP, USA,35.52,financial-services,486.0
AMPH, USA,2.51,pharmaceuticals,412.0
AMZN, USA,1461.0,"tech, retail",56094.0
ANET, USA,59.46,"tech, electronics",3114.0
ANF, USA,2.73,retail,1982.0
ANSS, USA,27.29,tech,470.0
APA, USA,13.37,energy,4872.0
APH, USA,50.89,electronics,2501.0
APP, USA,14.9,tech,2834.0
ARES, USA,32.22,financial-services,967.0
ARGX, Netherlands,31.21,pharmaceuticals,273.0
ARHS, USA,1.34,retail,910.0
ARKO, USA,0.86,retail,269.0
ARVN, USA,1.49,pharmaceuticals,413.0
ARW, USA,7.04,electronics,434.0
ARWR, USA,3.17,pharmaceuticals,913.0
ASAI, Brazil,3.38,retail,790.0
ASML, Netherlands,257.14,tech,993.0
